"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"1",49.87,0.04,1.61,0,0,0,0,0,2.94,0,0,0,0,0,0,0.6,0,0,11.34,0,0
"2",0.04,42.98,5.56,0.03,0.67,0.96,0,5.29,0.01,0.21,0.01,7.01,0.23,0.01,18.75,0.22,1.47,0,0,2.97,20.97
"3",1.61,5.56,63.66,0,0.54,0,0,0,0,1.43,0,2.98,0,0,0.16,2.2,0,0,0,0,5.01
"4",0,0.03,0,38.97,1.04,0,0.47,0,0,0,0,0,0.25,0,0,0,1.59,5.19,0,0,0.05
"5",0,0.67,0.54,1.04,61.46,0,0,0,0.45,0,0,0.05,0,0,0,0.61,18.46,0,0,0,1.9
"6",0,0.96,0,0,0,54.98,0,0,0.56,0,4.07,0,0,13.01,0.44,0,0,0,0,0,0
"7",0,0,0,0.47,0,0,53.67,0,0.7,0,0,0,0,0,0,0,0,8.48,0,0.04,0
"8",0,5.29,0,0,0,0,0,50.6,0,0,0,0.63,9.93,0,15.58,0,0.03,0,0,2.21,1.62
"9",2.94,0.01,0,0,0.45,0.56,0.7,0,12.55,0,0.02,0,0,1.13,0,1.67,0.05,0,1.3,0,0
"10",0,0.21,1.43,0,0,0,0,0,0,42.39,0.12,5.08,0,0,0.37,0,0,0,0,0,0
"11",0,0.01,0,0,0,4.07,0,0,0.02,0.12,58.62,0,0,0,0.13,0,0,0,0.67,0,0
"12",0,7.01,2.98,0,0.05,0,0,0.63,0,5.08,0,57.74,0,0,1.28,0,0,0,0,0,6.52
"13",0,0.23,0,0.25,0,0,0,9.93,0,0,0,0,44.56,0,0.36,0,0.05,0,0,2.15,0.06
"14",0,0.01,0,0,0,13.01,0,0,1.13,0,0,0,0,82.05,0.04,0,0,0,0,0,0
"15",0,18.75,0.16,0,0,0.44,0,15.58,0,0.37,0.13,1.28,0.36,0.04,40.83,0,0,0,0,5.68,3.01
"16",0.6,0.22,2.2,0,0.61,0,0,0,1.67,0,0,0,0,0,0,61.66,0,0,0,0,0.15
"17",0,1.47,0,1.59,18.46,0,0,0.03,0.05,0,0,0,0.05,0,0,0,50.18,0.06,0,0,6.04
"18",0,0,0,5.18,0,0,8.48,0,0,0,0,0,0,0,0,0,0.06,46.15,0,0,0
"19",11.34,0,0,0,0,0,0,0,1.3,0,0.67,0,0,0,0,0,0,0,80.71,0,0
"20",0,2.97,0,0,0,0,0.04,2.21,0,0,0,0,2.15,0,5.68,0,0,0,0,69.23,0
"21",0,20.97,5.01,0.05,1.9,0,0,1.62,0,0,0,6.52,0.06,0,3.01,0.15,6.04,0,0,0,59.11
